#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1082: Grand Targhee, WY
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Grand Targhee (1082) 
# Wyoming  SNOTEL Site - 9260 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Apr 22, 2026, 3:04:41 PM GMT-08:00
#
Date,Grand Targhee (1082) Snow Water Equivalent (in) Start of Day Values,Grand Targhee (1082) Precipitation Accumulation (in) Start of Day Values,Grand Targhee (1082) Air Temperature Average (degF),Grand Targhee (1082) Air Temperature Maximum (degF),Grand Targhee (1082) Air Temperature Minimum (degF),Grand Targhee (1082) Snow Depth (in) Start of Day Values
2006-08-24,,,,61.9,,
2006-08-25,,,54.0,63.9,44.4,0
2006-08-26,,,45.7,51.6,41.7,0
2006-08-27,,,51.6,63.9,41.7,0
2006-08-28,,,56.5,68.4,47.5,0
2006-08-29,,,60.8,70.0,52.5,0
2006-08-30,,,55.4,64.8,35.6,0
2006-08-31,,,41.9,53.8,30.4,0
2006-09-01,,,,,32.7,0
2006-09-02,,,,,36.1,0
2006-09-03,,,,,43.0,0
2006-09-04,,,,,45.7,0
2006-09-05,,,,,41.4,0
2006-09-06,,,,70.0,43.5,0
2006-09-07,,,53.6,60.4,49.6,0
2006-09-08,,,49.8,57.7,45.0,0
2006-09-09,,,50.0,58.8,43.7,0
2006-09-10,,,51.4,60.6,43.7,0
2006-09-11,,,,,34.7,0
2006-09-12,,,57.9,70.2,47.8,0
2006-09-13,,,57.6,65.5,51.4,0
2006-09-14,,,48.6,58.8,36.5,0
2006-09-15,,,36.3,43.2,29.8,0
2006-09-16,,,26.2,30.0,23.5,2
2006-09-17,,,27.9,33.4,23.4,2
2006-09-18,,,37.8,52.0,25.3,3
2006-09-19,,,46.6,57.9,37.9,2
2006-09-20,,,36.3,45.5,33.4,1
2006-09-21,,,30.2,34.5,27.1,0
2006-09-22,,,29.1,34.5,25.0,13
2006-09-23,,,31.5,46.6,22.3,14
2006-09-24,,,35.6,51.6,25.7,13
2006-09-25,,,41.9,57.2,32.2,10
2006-09-26,,,43.5,54.3,34.9,8
2006-09-27,,,46.4,56.8,38.8,7
2006-09-28,,,47.8,58.8,40.3,6
2006-09-29,,,47.8,59.4,39.9,6
2006-09-30,,,50.2,59.5,43.5,4
2006-10-01,1.7,0.0,49.6,55.4,45.0,4
2006-10-02,1.4,0.0,44.2,50.9,34.7,4
2006-10-03,1.3,0.3,39.2,49.8,33.3,3
2006-10-04,1.7,0.9,44.8,50.0,38.3,4
2006-10-05,1.5,1.0,46.6,55.2,38.3,4
2006-10-06,0.8,1.2,44.2,49.6,34.9,2
2006-10-07,0.2,1.5,34.2,36.5,30.2,1
2006-10-08,0.8,2.1,33.3,42.3,27.1,2
2006-10-09,0.9,2.2,32.7,38.7,26.8,3
2006-10-10,0.8,2.2,31.6,39.6,24.4,4
2006-10-11,0.9,2.3,34.2,43.9,30.6,4
2006-10-12,0.9,2.4,36.7,47.8,29.7,3
2006-10-13,1.0,2.5,40.8,51.6,32.2,4
2006-10-14,1.0,2.6,42.6,53.8,36.3,4
2006-10-15,1.0,2.6,39.4,46.8,33.4,4
2006-10-16,1.0,2.6,28.8,33.4,25.5,5
2006-10-17,2.4,4.0,22.6,30.4,16.0,16
2006-10-18,2.4,4.0,20.7,28.4,13.3,15
2006-10-19,2.4,4.0,29.7,33.3,24.8,12
2006-10-20,3.4,4.8,26.6,33.3,17.8,16
2006-10-21,3.8,5.2,21.7,34.3,14.5,19
2006-10-22,3.8,5.3,23.7,34.5,13.1,18
2006-10-23,3.8,5.4,35.1,47.5,23.2,18
2006-10-24,3.9,5.5,38.7,48.0,33.3,17
2006-10-25,4.0,5.6,25.5,36.5,16.2,17
2006-10-26,4.0,5.6,23.4,32.9,15.6,19
2006-10-27,4.0,5.6,29.8,38.7,21.2,18
2006-10-28,4.2,5.8,36.0,47.3,28.8,18
2006-10-29,4.2,5.8,37.0,44.1,31.5,18
2006-10-30,4.2,5.8,17.1,31.6,9.0,17
2006-10-31,4.2,5.8,12.9,23.0,6.6,24
2006-11-01,4.2,5.8,17.1,29.1,5.9,22
2006-11-02,4.4,6.0,28.8,37.2,20.7,21
